@relation german_credit

@attribute checking_status {<0,0<=X<200,>=200,'no checking'}
@attribute duration numeric
@attribute credit_history {'no credits/all paid','all paid','existing paid','delayed previously','critical/other existing credit'}
@attribute purpose {'new car','used car',furniture/equipment,radio/tv,'domestic appliance',repairs,education,vacation,retraining,business,other}
@attribute credit_amount numeric
@attribute savings_status {<100,100<=X<500,500<=X<1000,>=1000,'no known savings'}
@attribute employment {unemployed,<1,1<=X<4,4<=X<7,>=7}
@attribute installment_commitment numeric
@attribute personal_status {'male div/sep','female div/dep/mar','male single','male mar/wid','female single'}
@attribute other_parties {none,'co applicant',guarantor}
@attribute residence_since numeric
@attribute property_magnitude {'real estate','life insurance',car,'no known property'}
@attribute age numeric
@attribute other_payment_plans {bank,stores,none}
@attribute housing {rent,own,'for free'}
@attribute existing_credits numeric
@attribute job {'unemp/unskilled non res','unskilled resident',skilled,'high qualif/self emp/mgmt'}
@attribute num_dependents numeric
@attribute own_telephone {none,yes}
@attribute foreign_worker {yes,no}
@attribute class {good,bad}

@data
0<=X<200,18,'existing paid',education,1239,'no known savings',1<=X<4,4,'male single',none,4,'no known property',61,none,'for free',1,skilled,1,none,yes,good
'no checking',12,'critical/other existing credit',business,1185,<100,1<=X<4,3,'female div/dep/mar',none,2,'real estate',27,none,own,2,skilled,1,none,yes,good
<0,24,'existing paid',furniture/equipment,3149,<100,<1,4,'male single',none,1,'no known property',22,bank,'for free',1,skilled,1,none,yes,good
'no checking',33,'delayed previously',business,2764,<100,1<=X<4,2,'female div/dep/mar',none,2,car,26,none,own,2,skilled,1,yes,yes,good
'no checking',21,'delayed previously','used car',2993,<100,1<=X<4,3,'male single',none,2,'real estate',28,stores,own,2,'unskilled resident',1,none,yes,good
'no checking',6,'existing paid',furniture/equipment,1543,>=1000,1<=X<4,4,'male div/sep',none,2,'real estate',33,none,own,1,skilled,1,none,yes,good
'no checking',24,'critical/other existing credit','used car',2197,'no known savings',4<=X<7,4,'male single',none,4,car,43,none,own,2,skilled,2,yes,yes,good
0<=X<200,12,'existing paid','used car',2028,'no known savings',1<=X<4,4,'male single',none,2,car,30,none,own,1,skilled,1,none,yes,good
'no checking',36,'existing paid','used car',4686,<100,1<=X<4,2,'male single',none,2,'no known property',32,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
<0,11,'critical/other existing credit','new car',3905,<100,1<=X<4,2,'male single',none,2,'real estate',36,none,rent,2,skilled,2,none,yes,good
'no checking',18,'existing paid',radio/tv,2051,<100,<1,4,'male single',none,1,'real estate',33,none,own,1,skilled,1,none,yes,good
'no checking',13,'existing paid',radio/tv,1409,100<=X<500,unemployed,2,'female div/dep/mar',none,4,'real estate',64,none,own,1,skilled,1,none,yes,good
'no checking',36,'critical/other existing credit','new car',3535,<100,4<=X<7,4,'male single',none,4,car,37,none,own,2,skilled,1,yes,yes,good
'no checking',36,'existing paid',radio/tv,3595,<100,>=7,4,'male single',none,2,car,28,none,own,1,skilled,1,none,yes,good
'no checking',24,'existing paid',radio/tv,1413,<100,1<=X<4,4,'male mar/wid',none,2,'life insurance',28,none,own,1,skilled,1,none,yes,good
<0,36,'existing paid',furniture/equipment,3620,<100,1<=X<4,1,'male single',guarantor,2,'life insurance',37,none,own,1,skilled,2,none,yes,good
'no checking',15,'critical/other existing credit',radio/tv,1459,<100,1<=X<4,4,'female div/dep/mar',none,2,car,43,none,own,1,'unskilled resident',1,none,yes,good
0<=X<200,15,'existing paid',repairs,2631,100<=X<500,1<=X<4,3,'female div/dep/mar',none,2,'real estate',25,none,own,1,'unskilled resident',1,none,yes,good
0<=X<200,24,'existing paid','new car',1201,<100,<1,4,'male single',none,1,'life insurance',26,none,own,1,skilled,1,none,yes,good
<0,6,'existing paid',furniture/equipment,1374,<100,1<=X<4,1,'male single',none,2,'real estate',36,bank,own,1,'unskilled resident',1,yes,yes,good
'no checking',30,'critical/other existing credit',radio/tv,5771,<100,4<=X<7,4,'female div/dep/mar',none,2,car,25,none,own,2,skilled,1,none,yes,good
'no checking',24,'existing paid','used car',2603,>=1000,1<=X<4,2,'female div/dep/mar',none,4,car,28,none,rent,1,skilled,1,yes,yes,good
'no checking',7,'critical/other existing credit',radio/tv,730,'no known savings',>=7,4,'male single',none,2,'life insurance',46,none,rent,2,'unskilled resident',1,yes,yes,good
'no checking',10,'existing paid','used car',2901,'no known savings',<1,1,'female div/dep/mar',none,4,'real estate',31,none,rent,1,skilled,1,none,yes,good
<0,24,'existing paid',furniture/equipment,3021,<100,1<=X<4,2,'male div/sep',none,2,'real estate',24,none,rent,1,'unskilled resident',1,none,yes,good
0<=X<200,16,'critical/other existing credit','new car',1175,<100,unemployed,2,'male single',none,3,car,68,none,'for free',3,'unemp/unskilled non res',1,yes,yes,good
'no checking',6,'critical/other existing credit',radio/tv,700,'no known savings',>=7,4,'male single',none,4,'no known property',36,none,'for free',2,skilled,1,none,yes,good
<0,36,'existing paid',other,15857,<100,unemployed,2,'male div/sep','co applicant',3,car,43,none,own,1,'high qualif/self emp/mgmt',1,none,yes,good
0<=X<200,24,'existing paid',radio/tv,5084,'no known savings',>=7,2,'female div/dep/mar',none,4,car,42,none,own,1,skilled,1,yes,yes,good
<0,21,'existing paid',radio/tv,3357,>=1000,<1,4,'female div/dep/mar',none,2,car,29,bank,own,1,skilled,1,none,yes,good
>=200,12,'existing paid',furniture/equipment,1424,'no known savings',>=7,3,'female div/dep/mar',none,4,'real estate',55,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
>=200,10,'existing paid','domestic appliance',1225,<100,1<=X<4,2,'male single',none,2,car,37,none,own,1,skilled,1,yes,yes,good
'no checking',24,'existing paid','used car',6313,'no known savings',>=7,3,'male single',none,4,car,41,none,own,1,'high qualif/self emp/mgmt',2,yes,yes,good
'no checking',30,'existing paid','used car',4811,'no known savings',4<=X<7,2,'female div/dep/mar',none,4,'life insurance',24,stores,rent,1,'unskilled resident',1,none,yes,good
'no checking',24,'existing paid',radio/tv,1311,100<=X<500,4<=X<7,4,'male mar/wid',none,3,'life insurance',26,none,own,1,skilled,1,yes,yes,good
'no checking',12,'existing paid',business,1542,<100,4<=X<7,2,'male single',none,4,car,36,none,own,1,skilled,1,yes,yes,good
'no checking',28,'all paid','used car',7824,'no known savings',<1,3,'male single',guarantor,4,'real estate',40,bank,rent,2,skilled,2,yes,yes,good
>=200,24,'existing paid',furniture/equipment,1925,<100,1<=X<4,2,'male single',none,2,'real estate',26,none,own,1,skilled,1,none,yes,good
'no checking',15,'critical/other existing credit','new car',5045,'no known savings',>=7,1,'female div/dep/mar',none,4,car,59,none,own,1,skilled,1,yes,yes,good
'no checking',12,'existing paid',education,1393,<100,>=7,4,'male single',none,4,'life insurance',47,bank,own,3,skilled,2,yes,yes,good
0<=X<200,12,'critical/other existing credit','used car',1804,100<=X<500,<1,3,'male single',none,4,'life insurance',44,none,own,1,skilled,1,none,yes,good
'no checking',24,'critical/other existing credit',radio/tv,2424,'no known savings',>=7,4,'male single',none,4,'life insurance',53,none,own,2,skilled,1,none,yes,good
'no checking',15,'existing paid',furniture/equipment,2186,'no known savings',4<=X<7,1,'female div/dep/mar',none,4,'real estate',33,bank,rent,1,'unskilled resident',1,none,yes,good
'no checking',5,'existing paid',business,3448,<100,4<=X<7,1,'male single',none,4,'real estate',74,none,own,1,'unskilled resident',1,none,yes,good
'no checking',24,'critical/other existing credit',furniture/equipment,1585,<100,4<=X<7,4,'male single',none,3,'life insurance',40,none,own,2,skilled,1,none,yes,good
0<=X<200,36,'delayed previously','new car',2862,100<=X<500,>=7,4,'male single',none,3,'no known property',30,none,'for free',1,skilled,1,none,yes,good
'no checking',6,'no credits/all paid',radio/tv,426,<100,>=7,4,'male mar/wid',none,4,car,39,none,own,1,'unskilled resident',1,none,yes,good
<0,18,'all paid',radio/tv,1940,<100,<1,3,'male single','co applicant',4,'no known property',36,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',12,'existing paid',furniture/equipment,1574,<100,1<=X<4,4,'male single',none,2,'real estate',50,none,own,1,skilled,1,none,yes,good
0<=X<200,7,'existing paid',radio/tv,2329,<100,<1,1,'female div/dep/mar',guarantor,1,'real estate',45,none,own,1,skilled,1,none,yes,good
0<=X<200,48,'delayed previously',other,7582,100<=X<500,unemployed,2,'male single',none,4,'no known property',31,none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',9,'existing paid',radio/tv,2697,<100,1<=X<4,1,'male single',none,2,'real estate',32,none,own,1,skilled,2,none,yes,good
'no checking',15,'existing paid','used car',3029,<100,4<=X<7,2,'male single',none,2,car,33,none,own,1,skilled,1,none,yes,good
'no checking',12,'critical/other existing credit',radio/tv,717,<100,>=7,4,'male single',none,4,'real estate',52,none,own,3,skilled,1,none,yes,good
<0,15,'critical/other existing credit',furniture/equipment,975,<100,1<=X<4,2,'male div/sep',none,3,'life insurance',25,none,own,2,skilled,1,none,yes,good
>=200,10,'existing paid','new car',3949,<100,<1,1,'male single',guarantor,1,'life insurance',37,none,own,1,'unskilled resident',2,none,yes,good
0<=X<200,15,'existing paid',repairs,1514,100<=X<500,1<=X<4,4,'male single',guarantor,2,'real estate',22,none,own,1,skilled,1,none,yes,good
>=200,18,'existing paid','new car',1961,<100,>=7,3,'female div/dep/mar',none,2,car,23,none,own,1,'high qualif/self emp/mgmt',1,none,yes,good
'no checking',12,'critical/other existing credit',radio/tv,1240,'no known savings',>=7,4,'female div/dep/mar',none,2,'real estate',38,none,own,2,skilled,1,yes,yes,good
>=200,18,'existing paid',furniture/equipment,3049,<100,<1,1,'female div/dep/mar',none,1,'life insurance',45,stores,own,1,'unskilled resident',1,none,yes,good
0<=X<200,6,'existing paid',radio/tv,2063,<100,<1,4,'male mar/wid',none,3,car,30,none,rent,1,'high qualif/self emp/mgmt',1,yes,yes,good
>=200,18,'all paid',radio/tv,1445,'no known savings',4<=X<7,4,'male single',none,4,car,49,bank,own,1,'unskilled resident',1,none,yes,good
<0,8,'critical/other existing credit',other,1164,<100,>=7,3,'male single',none,4,'no known property',51,bank,'for free',2,'high qualif/self emp/mgmt',2,yes,yes,good
0<=X<200,24,'existing paid','used car',2760,'no known savings',>=7,4,'male single',none,4,'no known property',36,bank,'for free',1,skilled,1,yes,yes,good
'no checking',12,'existing paid',radio/tv,804,<100,>=7,4,'male single',none,4,car,38,none,own,1,skilled,1,none,yes,good
0<=X<200,15,'existing paid',repairs,1308,<100,>=7,4,'male single',none,4,car,38,none,own,2,'unskilled resident',1,none,yes,good
0<=X<200,9,'critical/other existing credit',radio/tv,1154,<100,>=7,2,'male single',none,4,'real estate',37,none,own,3,'unskilled resident',1,none,yes,good
'no checking',24,'existing paid',business,1258,<100,4<=X<7,4,'male single',none,1,'real estate',25,none,own,1,skilled,1,yes,yes,good
'no checking',24,'critical/other existing credit',furniture/equipment,3777,>=1000,1<=X<4,4,'male single',none,4,'real estate',50,none,own,1,skilled,1,yes,yes,good
0<=X<200,42,'all paid','used car',9283,<100,unemployed,1,'male single',none,2,'no known property',55,bank,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',24,'critical/other existing credit',radio/tv,2684,<100,1<=X<4,4,'male single',none,2,'real estate',35,none,own,2,'unskilled resident',1,none,yes,good
'no checking',15,'existing paid',radio/tv,1979,'no known savings',>=7,4,'male single',none,2,car,35,none,own,1,skilled,1,none,yes,good
'no checking',21,'existing paid',furniture/equipment,2241,<100,>=7,4,'male single',none,2,'real estate',50,none,own,2,skilled,1,none,yes,good
0<=X<200,9,'existing paid','new car',1549,'no known savings',<1,4,'male single',none,2,'real estate',35,none,own,1,'unemp/unskilled non res',1,none,yes,good
'no checking',36,'critical/other existing credit','used car',5711,>=1000,>=7,4,'male single',none,2,car,38,none,own,2,'high qualif/self emp/mgmt',1,yes,yes,good
'no checking',30,'existing paid',radio/tv,1867,'no known savings',>=7,4,'male single',none,4,car,58,none,own,1,skilled,1,yes,yes,good
0<=X<200,36,'existing paid',radio/tv,4795,<100,<1,4,'female div/dep/mar',none,1,'no known property',30,none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good
<0,12,'existing paid',furniture/equipment,652,<100,>=7,4,'female div/dep/mar',none,4,'life insurance',24,none,rent,1,skilled,1,none,yes,good
